Pression, tour moteur, température, AFR, Duréé injection, Papillon, Cible AFR, Cor AFR 
46.28 , 1027 , 42 , 151.00 , 5598.90 , 17.00 , 105.00 , 0.94
45.97 , 1055 , 42 , 151.00 , 5607.45 , 17.00 , 105.00 , 0.94
46.28 , 1026 , 42 , 151.00 , 5598.59 , 17.00 , 105.00 , 0.94
47.53 , 994 , 42 , 151.00 , 5588.82 , 17.00 , 105.00 , 0.94
48.15 , 998 , 42 , 152.00 , 5590.04 , 17.00 , 105.00 , 0.94
48.47 , 1001 , 42 , 152.00 , 5590.96 , 17.00 , 105.00 , 0.94
48.15 , 982 , 42 , 152.00 , 5585.15 , 17.00 , 105.00 , 0.94
47.53 , 1032 , 42 , 152.00 , 5600.43 , 17.00 , 105.00 , 0.94
46.28 , 1056 , 42 , 152.00 , 5607.76 , 17.00 , 105.00 , 0.94
47.22 , 1008 , 42 , 152.00 , 5593.09 , 17.00 , 105.00 , 0.94
47.22 , 1003 , 42 , 153.00 , 5591.57 , 17.00 , 105.00 , 0.94
45.97 , 1085 , 42 , 153.00 , 5616.62 , 17.00 , 105.00 , 0.94
45.97 , 1040 , 42 , 152.00 , 5602.87 , 17.00 , 105.00 , 0.94
45.97 , 1085 , 42 , 152.00 , 5616.62 , 17.00 , 105.00 , 0.94
45.97 , 1040 , 42 , 153.00 , 5602.87 , 17.00 , 105.00 , 0.94
45.66 , 1061 , 42 , 153.00 , 5609.29 , 17.00 , 105.00 , 0.94
45.66 , 1051 , 42 , 151.00 , 5606.23 , 17.00 , 105.00 , 0.94
45.97 , 1067 , 42 , 151.00 , 5611.12 , 17.00 , 105.00 , 0.94
45.35 , 1074 , 42 , 151.00 , 5613.26 , 17.00 , 105.00 , 0.94
45.04 , 1102 , 42 , 151.00 , 5621.81 , 17.00 , 105.00 , 0.94
44.41 , 1092 , 42 , 151.00 , 5618.76 , 17.00 , 105.00 , 0.94
44.73 , 1089 , 42 , 151.00 , 5617.84 , 17.00 , 105.00 , 0.94
44.41 , 1085 , 42 , 150.00 , 5616.62 , 17.00 , 105.00 , 0.94
44.10 , 1108 , 42 , 150.00 , 5623.64 , 17.00 , 105.00 , 0.94
44.73 , 1073 , 42 , 150.00 , 5612.95 , 17.00 , 105.00 , 0.94
45.97 , 1036 , 42 , 150.00 , 5601.65 , 17.00 , 105.00 , 0.94
46.91 , 1017 , 42 , 151.00 , 5595.84 , 17.00 , 105.00 , 0.94
46.28 , 1050 , 42 , 151.00 , 5605.92 , 17.00 , 105.00 , 0.94
46.91 , 1005 , 42 , 151.00 , 5592.18 , 17.00 , 105.00 , 0.94
48.47 , 966 , 42 , 151.00 , 5580.26 , 17.00 , 105.00 , 0.94
48.47 , 966 , 42 , 151.00 , 5580.26 , 17.00 , 105.00 , 0.94
49.09 , 967 , 42 , 151.00 , 5580.57 , 17.00 , 105.00 , 0.94
48.78 , 966 , 42 , 151.00 , 5580.26 , 17.00 , 105.00 , 0.94
50.02 , 932 , 42 , 151.00 , 5711.63 , 17.00 , 105.00 , 0.94
51.27 , 915 , 42 , 152.00 , 5696.05 , 17.00 , 105.00 , 0.94
51.27 , 908 , 42 , 152.00 , 5689.63 , 17.00 , 105.00 , 0.94
49.71 , 971 , 42 , 152.00 , 5581.79 , 17.00 , 105.00 , 0.94
50.34 , 934 , 42 , 152.00 , 5713.46 , 17.00 , 105.00 , 0.94
49.40 , 984 , 42 , 154.00 , 5585.76 , 17.00 , 105.00 , 0.94
48.47 , 1013 , 42 , 154.00 , 5594.62 , 17.00 , 105.00 , 0.94
46.60 , 1046 , 42 , 154.00 , 5604.70 , 17.00 , 105.00 , 0.94
46.60 , 1043 , 42 , 154.00 , 5603.79 , 17.00 , 105.00 , 0.94
45.66 , 1062 , 42 , 153.00 , 5609.59 , 17.00 , 105.00 , 0.94
46.28 , 1052 , 42 , 153.00 , 5606.54 , 17.00 , 105.00 , 0.94
46.28 , 1066 , 42 , 152.00 , 5610.81 , 17.00 , 105.00 , 0.94
46.60 , 1054 , 42 , 152.00 , 5607.15 , 17.00 , 105.00 , 0.94
46.60 , 1046 , 42 , 152.00 , 5604.70 , 17.00 , 105.00 , 0.94
46.91 , 1043 , 42 , 152.00 , 5603.79 , 17.00 , 105.00 , 0.94
46.60 , 1062 , 42 , 152.00 , 5609.59 , 17.00 , 105.00 , 0.94
45.66 , 1096 , 42 , 152.00 , 5619.98 , 17.00 , 105.00 , 0.94
44.41 , 1089 , 42 , 153.00 , 5617.84 , 17.00 , 105.00 , 0.94
45.35 , 1064 , 42 , 153.00 , 5610.20 , 17.00 , 105.00 , 0.94
46.60 , 1011 , 42 , 150.00 , 5594.01 , 17.00 , 105.00 , 0.94
47.53 , 1006 , 42 , 150.00 , 5592.48 , 17.00 , 105.00 , 0.94
46.28 , 1042 , 42 , 151.00 , 5603.48 , 17.00 , 105.00 , 0.94
47.53 , 1002 , 42 , 151.00 , 5591.26 , 17.00 , 105.00 , 0.94
46.91 , 1040 , 42 , 152.00 , 5602.87 , 17.00 , 105.00 , 0.94
46.28 , 1084 , 42 , 152.00 , 5616.31 , 17.00 , 105.00 , 0.94
45.35 , 1083 , 42 , 151.00 , 5616.01 , 17.00 , 105.00 , 0.94
45.35 , 1061 , 42 , 151.00 , 5609.29 , 17.00 , 105.00 , 0.94
46.28 , 1050 , 42 , 152.00 , 5605.92 , 17.00 , 105.00 , 0.94
46.60 , 1045 , 42 , 152.00 , 5604.40 , 17.00 , 105.00 , 0.94
46.28 , 1062 , 42 , 152.00 , 5609.59 , 17.00 , 105.00 , 0.94
46.60 , 1031 , 42 , 152.00 , 5600.12 , 17.00 , 105.00 , 0.94
45.66 , 1055 , 42 , 152.00 , 5607.45 , 17.00 , 105.00 , 0.94
46.91 , 1028 , 42 , 152.00 , 5599.20 , 17.00 , 105.00 , 0.94
45.97 , 1054 , 42 , 151.00 , 5607.15 , 17.00 , 105.00 , 0.94
46.91 , 1027 , 42 , 151.00 , 5598.90 , 17.00 , 105.00 , 0.94
46.28 , 1033 , 42 , 151.00 , 5600.73 , 17.00 , 105.00 , 0.94
46.91 , 1017 , 42 , 151.00 , 5595.84 , 17.00 , 105.00 , 0.94
46.60 , 1048 , 42 , 151.00 , 5605.31 , 18.00 , 105.00 , 0.94
48.47 , 1066 , 42 , 151.00 , 5610.81 , 19.00 , 105.00 , 0.94
52.20 , 1031 , 42 , 151.00 , 5802.36 , 20.00 , 105.00 , 0.94
55.94 , 1035 , 42 , 151.00 , 5806.03 , 22.00 , 105.00 , 0.94
58.44 , 1101 , 42 , 152.00 , 5866.82 , 23.00 , 105.00 , 0.94
61.24 , 1138 , 42 , 152.00 , 5912.04 , 25.00 , 105.00 , 0.94
62.80 , 1211 , 42 , 154.00 , 6001.24 , 26.00 , 105.00 , 0.94
63.42 , 1251 , 42 , 154.00 , 6050.12 , 26.00 , 105.00 , 0.94
62.49 , 1303 , 42 , 159.00 , 6113.67 , 27.00 , 105.00 , 0.94
60.62 , 1443 , 42 , 159.00 , 6284.75 , 26.00 , 105.00 , 0.94
60.31 , 1399 , 42 , 165.00 , 6230.98 , 26.00 , 105.00 , 0.94
60.31 , 1418 , 42 , 165.00 , 6254.20 , 26.00 , 105.00 , 0.94
57.81 , 1466 , 42 , 165.00 , 6312.85 , 26.00 , 105.00 , 0.94
59.37 , 1452 , 42 , 165.00 , 6295.74 , 27.00 , 105.00 , 0.94
57.81 , 1573 , 42 , 163.00 , 6399.00 , 27.00 , 105.00 , 0.94
58.75 , 1548 , 42 , 163.00 , 6383.73 , 27.00 , 105.00 , 0.94
57.50 , 1627 , 42 , 160.00 , 6432.00 , 27.00 , 105.00 , 0.94
56.57 , 1673 , 42 , 160.00 , 6460.10 , 27.00 , 105.00 , 0.94
55.32 , 1694 , 42 , 160.00 , 6472.93 , 27.00 , 105.00 , 0.94
55.32 , 1707 , 42 , 160.00 , 6480.88 , 27.00 , 105.00 , 0.94
54.07 , 1770 , 42 , 158.00 , 6519.37 , 27.00 , 105.00 , 0.94
55.01 , 1747 , 42 , 158.00 , 6505.32 , 27.00 , 105.00 , 0.94
53.45 , 1853 , 42 , 155.00 , 6570.08 , 27.00 , 105.00 , 0.94
53.45 , 1848 , 42 , 155.00 , 6567.03 , 27.00 , 105.00 , 0.94
52.83 , 1841 , 42 , 154.00 , 6562.75 , 27.00 , 105.00 , 0.94
