Pression, tour moteur, température, AFR, Duréé injection, Papillon, Cible AFR 
39.74 , 1942 , 26 , 163.00 , 4798.86 , 23.00 , 105.00
40.36 , 1990 , 26 , 163.00 , 4814.70 , 23.00 , 105.00
39.43 , 2011 , 27 , 163.00 , 4821.63 , 23.00 , 105.00
40.36 , 1945 , 26 , 163.00 , 4799.85 , 23.00 , 105.00
39.74 , 2070 , 26 , 163.00 , 4841.10 , 23.00 , 105.00
39.43 , 1973 , 27 , 163.00 , 4809.09 , 23.00 , 105.00
39.43 , 2002 , 27 , 163.00 , 4818.66 , 23.00 , 105.00
39.43 , 1939 , 26 , 163.00 , 4797.87 , 23.00 , 105.00
39.74 , 1985 , 26 , 163.00 , 4813.05 , 23.00 , 105.00
39.74 , 2015 , 26 , 163.00 , 4822.95 , 23.00 , 105.00
39.43 , 1942 , 26 , 163.00 , 4798.86 , 23.00 , 105.00
39.74 , 1994 , 27 , 163.00 , 4816.02 , 23.00 , 105.00
39.74 , 2015 , 26 , 163.00 , 4822.95 , 23.00 , 105.00
40.05 , 1945 , 26 , 163.00 , 4799.85 , 23.00 , 105.00
39.12 , 1988 , 27 , 163.00 , 4814.04 , 23.00 , 105.00
39.74 , 2019 , 27 , 163.00 , 4824.27 , 23.00 , 105.00
39.43 , 1944 , 26 , 163.00 , 4799.52 , 23.00 , 105.00
40.05 , 1994 , 26 , 163.00 , 4816.02 , 23.00 , 105.00
39.12 , 2016 , 26 , 163.00 , 4823.28 , 23.00 , 105.00
39.43 , 1947 , 26 , 163.00 , 4800.51 , 23.00 , 105.00
39.74 , 1992 , 26 , 163.00 , 4815.36 , 23.00 , 105.00
40.05 , 1939 , 26 , 163.00 , 4797.87 , 23.00 , 105.00
39.43 , 1986 , 27 , 163.00 , 4813.38 , 23.00 , 105.00
39.43 , 2016 , 27 , 163.00 , 4823.28 , 23.00 , 105.00
39.43 , 1944 , 27 , 163.00 , 4799.52 , 23.00 , 105.00
39.43 , 1994 , 27 , 163.00 , 4816.02 , 23.00 , 105.00
38.81 , 2015 , 27 , 163.00 , 4822.95 , 23.00 , 105.00
39.43 , 1946 , 26 , 163.00 , 4800.18 , 23.00 , 105.00
39.43 , 1989 , 27 , 162.00 , 4814.37 , 23.00 , 105.00
39.74 , 1941 , 26 , 162.00 , 4798.53 , 23.00 , 105.00
39.43 , 1987 , 26 , 163.00 , 4813.71 , 23.00 , 105.00
39.74 , 1938 , 26 , 163.00 , 4797.54 , 23.00 , 105.00
39.43 , 1985 , 26 , 162.00 , 4813.05 , 23.00 , 105.00
39.12 , 2015 , 26 , 162.00 , 4822.95 , 23.00 , 105.00
39.12 , 1943 , 27 , 161.00 , 4799.19 , 23.00 , 105.00
39.12 , 1992 , 26 , 161.00 , 4815.36 , 23.00 , 105.00
39.43 , 1936 , 26 , 162.00 , 4796.88 , 23.00 , 105.00
39.43 , 1990 , 26 , 162.00 , 4814.70 , 23.00 , 105.00
38.81 , 2013 , 27 , 163.00 , 4822.29 , 23.00 , 105.00
39.43 , 1945 , 26 , 163.00 , 4799.85 , 23.00 , 105.00
39.12 , 1989 , 26 , 162.00 , 4814.37 , 23.00 , 105.00
39.43 , 1938 , 27 , 162.00 , 4797.54 , 23.00 , 105.00
38.81 , 1985 , 27 , 161.00 , 4813.05 , 23.00 , 105.00
39.74 , 1937 , 26 , 161.00 , 4797.21 , 23.00 , 105.00
39.12 , 1984 , 27 , 161.00 , 4812.72 , 23.00 , 105.00
39.12 , 2015 , 26 , 161.00 , 4822.95 , 23.00 , 105.00
39.12 , 1941 , 26 , 161.00 , 4798.53 , 23.00 , 105.00
39.43 , 1993 , 26 , 161.00 , 4815.69 , 23.00 , 105.00
39.12 , 1933 , 26 , 161.00 , 4795.89 , 23.00 , 105.00
39.12 , 1988 , 26 , 161.00 , 4814.04 , 23.00 , 105.00
39.43 , 1932 , 26 , 160.00 , 4795.56 , 23.00 , 105.00
39.43 , 1987 , 27 , 160.00 , 4813.71 , 23.00 , 105.00
39.74 , 1933 , 26 , 160.00 , 4795.89 , 23.00 , 105.00
39.43 , 1987 , 26 , 160.00 , 4813.71 , 23.00 , 105.00
39.12 , 1931 , 27 , 160.00 , 4795.23 , 23.00 , 105.00
39.12 , 1986 , 26 , 160.00 , 4813.38 , 23.00 , 105.00
39.12 , 1930 , 26 , 161.00 , 4794.90 , 23.00 , 105.00
39.12 , 1986 , 26 , 161.00 , 4813.38 , 23.00 , 105.00
39.12 , 1930 , 26 , 160.00 , 4794.90 , 23.00 , 105.00
39.12 , 1986 , 27 , 160.00 , 4813.38 , 23.00 , 105.00
39.43 , 1931 , 26 , 161.00 , 4795.23 , 23.00 , 105.00
39.74 , 1910 , 26 , 161.00 , 4788.30 , 23.00 , 105.00
39.12 , 1971 , 27 , 160.00 , 4808.43 , 23.00 , 105.00
39.74 , 1930 , 26 , 160.00 , 4794.90 , 23.00 , 105.00
39.43 , 1982 , 26 , 160.00 , 4812.06 , 23.00 , 105.00
39.43 , 1935 , 26 , 160.00 , 4796.55 , 23.00 , 105.00
39.12 , 1982 , 26 , 160.00 , 4812.06 , 23.00 , 105.00
39.43 , 1862 , 26 , 160.00 , 4772.46 , 23.00 , 105.00
39.12 , 2023 , 26 , 160.00 , 4825.59 , 23.00 , 105.00
39.43 , 1876 , 26 , 160.00 , 4777.08 , 23.00 , 105.00
39.43 , 1950 , 26 , 160.00 , 4801.50 , 23.00 , 105.00
39.43 , 1920 , 26 , 160.00 , 4791.60 , 23.00 , 105.00
39.43 , 1975 , 26 , 160.00 , 4809.75 , 23.00 , 105.00
39.74 , 1931 , 26 , 160.00 , 4795.23 , 23.00 , 105.00
39.74 , 1906 , 26 , 159.00 , 4786.98 , 23.00 , 105.00
39.12 , 1972 , 26 , 159.00 , 4808.76 , 23.00 , 105.00
39.12 , 1924 , 26 , 160.00 , 4792.92 , 22.00 , 105.00
39.74 , 1904 , 26 , 160.00 , 4786.32 , 23.00 , 105.00
39.12 , 1963 , 26 , 160.00 , 4805.79 , 22.00 , 105.00
39.74 , 1924 , 26 , 160.00 , 4792.92 , 23.00 , 105.00
39.74 , 1901 , 26 , 160.00 , 4785.33 , 23.00 , 105.00
39.12 , 1969 , 26 , 160.00 , 4807.77 , 23.00 , 105.00
39.12 , 1922 , 26 , 159.00 , 4792.26 , 22.00 , 105.00
39.74 , 1902 , 26 , 159.00 , 4785.66 , 23.00 , 105.00
38.81 , 1963 , 26 , 160.00 , 4805.79 , 22.00 , 105.00
39.43 , 1923 , 26 , 160.00 , 4792.59 , 22.00 , 105.00
39.12 , 1900 , 26 , 159.00 , 4785.00 , 22.00 , 105.00
39.12 , 1969 , 26 , 159.00 , 4807.77 , 22.00 , 105.00
39.12 , 1922 , 26 , 159.00 , 4792.26 , 22.00 , 105.00
39.12 , 1905 , 26 , 159.00 , 4786.65 , 22.00 , 105.00
38.81 , 1965 , 26 , 159.00 , 4806.45 , 22.00 , 105.00
39.12 , 1927 , 26 , 159.00 , 4793.91 , 22.00 , 105.00
38.81 , 1902 , 26 , 159.00 , 4785.66 , 22.00 , 105.00
39.43 , 1895 , 26 , 159.00 , 4783.35 , 22.00 , 105.00
38.49 , 1961 , 26 , 158.00 , 4805.13 , 22.00 , 105.00
39.12 , 1925 , 26 , 158.00 , 4793.25 , 22.00 , 105.00
38.81 , 1902 , 26 , 158.00 , 4785.66 , 22.00 , 105.00
39.43 , 1894 , 26 , 158.00 , 4783.02 , 22.00 , 105.00
38.49 , 1961 , 26 , 159.00 , 4805.13 , 22.00 , 105.00
39.43 , 1854 , 26 , 159.00 , 4769.82 , 22.00 , 105.00
39.12 , 1939 , 26 , 158.00 , 4797.87 , 22.00 , 105.00
39.12 , 1913 , 26 , 158.00 , 4789.29 , 22.00 , 105.00
38.81 , 1972 , 26 , 158.00 , 4808.76 , 22.00 , 105.00
39.43 , 1857 , 26 , 158.00 , 4770.81 , 22.00 , 105.00
38.81 , 1940 , 26 , 157.00 , 4798.20 , 22.00 , 105.00
39.43 , 1914 , 26 , 157.00 , 4789.62 , 22.00 , 105.00
39.12 , 1897 , 26 , 158.00 , 4784.01 , 22.00 , 105.00
38.81 , 1968 , 26 , 158.00 , 4807.44 , 22.00 , 105.00
38.81 , 1923 , 26 , 158.00 , 4792.59 , 22.00 , 105.00
38.81 , 1905 , 26 , 158.00 , 4786.65 , 22.00 , 105.00
39.12 , 1893 , 26 , 157.00 , 4782.69 , 22.00 , 105.00
39.43 , 1891 , 26 , 157.00 , 4782.03 , 22.00 , 105.00
38.81 , 1960 , 26 , 157.00 , 4804.80 , 22.00 , 105.00
39.12 , 1852 , 26 , 157.00 , 4769.16 , 22.00 , 105.00
38.81 , 1939 , 26 , 157.00 , 4797.87 , 22.00 , 105.00
38.81 , 1912 , 26 , 157.00 , 4788.96 , 22.00 , 105.00
38.81 , 1895 , 26 , 156.00 , 4783.35 , 22.00 , 105.00
39.12 , 1893 , 26 , 156.00 , 4782.69 , 22.00 , 105.00
38.49 , 1960 , 26 , 158.00 , 4804.80 , 22.00 , 105.00
39.12 , 1852 , 26 , 158.00 , 4769.16 , 22.00 , 105.00
38.81 , 1938 , 26 , 157.00 , 4797.54 , 22.00 , 105.00
39.12 , 1841 , 26 , 157.00 , 4765.53 , 22.00 , 105.00
38.81 , 1932 , 26 , 156.00 , 4795.56 , 22.00 , 105.00
39.12 , 1910 , 26 , 156.00 , 4788.30 , 22.00 , 105.00
38.49 , 1893 , 26 , 156.00 , 4782.69 , 22.00 , 105.00
39.12 , 1891 , 26 , 156.00 , 4782.03 , 22.00 , 105.00
38.49 , 1886 , 26 , 156.00 , 4780.38 , 22.00 , 105.00
39.12 , 1886 , 26 , 156.00 , 4780.38 , 22.00 , 105.00
38.49 , 1956 , 26 , 156.00 , 4803.48 , 22.00 , 105.00
38.81 , 1851 , 26 , 156.00 , 4768.83 , 22.00 , 105.00
39.12 , 1865 , 26 , 156.00 , 4773.45 , 22.00 , 105.00
39.74 , 1877 , 26 , 156.00 , 4777.41 , 22.00 , 105.00
38.49 , 1951 , 26 , 156.00 , 4801.83 , 22.00 , 105.00
39.12 , 1848 , 26 , 156.00 , 4767.84 , 22.00 , 105.00
38.49 , 1935 , 26 , 156.00 , 4796.55 , 22.00 , 105.00
38.81 , 1840 , 26 , 156.00 , 4765.20 , 22.00 , 105.00
38.81 , 1859 , 26 , 156.00 , 4771.47 , 22.00 , 105.00
39.12 , 1873 , 26 , 156.00 , 4776.09 , 22.00 , 105.00
38.49 , 1951 , 26 , 156.00 , 4801.83 , 22.00 , 105.00
39.12 , 1846 , 26 , 156.00 , 4767.18 , 22.00 , 105.00
38.81 , 1863 , 26 , 156.00 , 4772.79 , 22.00 , 105.00
39.43 , 1876 , 26 , 156.00 , 4777.08 , 22.00 , 105.00
38.49 , 1878 , 26 , 156.00 , 4777.74 , 22.00 , 105.00
39.43 , 1882 , 26 , 156.00 , 4779.06 , 22.00 , 105.00
38.18 , 1880 , 26 , 156.00 , 4778.40 , 22.00 , 105.00
39.12 , 1884 , 26 , 156.00 , 4779.72 , 22.00 , 105.00
38.18 , 1882 , 26 , 156.00 , 4779.06 , 22.00 , 105.00
38.81 , 1884 , 26 , 156.00 , 4779.72 , 22.00 , 105.00
38.49 , 1882 , 26 , 155.00 , 4779.06 , 22.00 , 105.00
39.12 , 1815 , 26 , 155.00 , 4756.95 , 22.00 , 105.00
38.81 , 1919 , 26 , 156.00 , 4791.27 , 22.00 , 105.00
39.43 , 1833 , 26 , 156.00 , 4762.89 , 22.00 , 105.00
38.49 , 1928 , 26 , 155.00 , 4794.24 , 22.00 , 105.00
39.12 , 1838 , 26 , 155.00 , 4764.54 , 22.00 , 105.00
38.49 , 1930 , 26 , 155.00 , 4794.90 , 22.00 , 105.00
39.12 , 1838 , 26 , 155.00 , 4764.54 , 22.00 , 105.00
38.81 , 1858 , 26 , 155.00 , 4771.14 , 22.00 , 105.00
38.81 , 1873 , 26 , 155.00 , 4776.09 , 22.00 , 105.00
